Placard,Description
1,"Stone in chimney cracks in fireplace, contractor to review permit required"
1,Chimney damage
1,Restricted use of adjacent driveway & restricted access to living room
1,Chimney damage
1,Chimney damage
2,shed in rear yard unstable
0,structure good
0,"Broken glass repaired, minor celing cracks (stucco) green tagged already 8/28 no change, retained (Commercial)"
1,"ok to occupy/chimney fell, all debris removed.  Metal flue inside of brick chimney exposed.  Do not use fireplace/avoid area on side of house"
1,chimney failure - stay clear until damage is removed
1,chimney failure - stay clear until damage is removed
1,chimney failure - stay clear until damage is removed
1,do not occupy area adjacent to chimney or utilize interior or exterior
0,"Green tag, minor cracking CMU walls & tape joints"
1,4 1/2' basement walls leaning - structural analysis needed
1,Diaphtrgm has been lifted up by rafters and rafter have begun to split
0,Minor exterior stucco cracks
0,no issues
1,Chimney
1,"Damage to cripple walls on sou, west side"
1,"Racking, damage to walls, other structural damage, foundation damage to east side, chimney down"
2,Foundation
2,canopy sbehind home is unstable
0,Minor drywall cracking
1,"Chimney collapsed onto roof, detached garage is leaning"
1,"Minor roof structure damage. Chimney still on roof, detacheg garage behind residence is leaning"
1,No cracks-contingent upon bldg. permit.  Need building permit
1,"slipping on foundation, minor cracks in stucco"
0,No comments
1,"Chimney broke at roof line, falling to ground. No other damage"
1,Chimney broke at roofline
1,"garage (detached from house), bottom chord of roof truss sagged, ridge beam cracked, owner repaired chimney"
0,"Wood fence fell down brick veneer 1'0"" high on grade fell"
0,No comments
0,No comments
0,(Jack in the Box)
0,(Panache Salon)
0,structure good
0,structure good
0,structure good
0,(Mandarin Palace)
0,(Walgreens)
0,(Ulta Beauty & Panera)
0,(Ulta Beauty & Panera)
0,"(The Habit, Sleeptrain, etc)"
0,foundation at Oak St side
1,Chimney damage
0,"R railing partly torn loose. Couple siding pieces fell off & nails popped, shingles replaced/existing & attached w/screws, trim bd. Split & electrical support wire pulled"
2,fall off pier & post foundation 2.5 ft
2,Building was red tagged but next door neighbor says that the people may still be there (unsafe)
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,"Already green tagged, states OK to occupy, called owner, place is locked (Commercial)"
1,Asia Café - broken glass
1,Wells Fargo
1,structural damage southside - URM structural
0,"Stairway repairs completed already. Stairs are safe from colapes still has age & neglect issues teanet, said that there wad no Int. damage"
0,no one home
2,"extensive damage to 5'-0"" concrete cripple wall on NW side, requires SE to isnpect interior, basement area"
0,no one home
1,"SE required to eval interior walls ASAP - severe damage to plater walls, bldg slightly shifted"
0,door hanger left on site - exterior observation only
1,Chimney cracked - moderate damage
0,Inspected-Green tag-owner allowed
0,None - Green tag
1,do not occupy rooms below chimney or ext area below - do not use fireplace
1,chimney stucco cracked at roof line
0,"Green tag, front exterior only"
0,None - Green tag
0,looks good
0,good condition
0,good condition
0,small verticle cracks in foundation
0,"hairline plaster cracks, structure good"
0,"hairline plaster cracks, structure good"
0,"hairline plaster cracks, structure good"
0,"hairline plaster cracks, structure good"
0,"hairline plaster cracks, structure good"
0,"hairline plaster cracks, structure good"
0,structure good
1,kickers/sWys
0,(Van Windens) garden pergola cover
0,structure good
0,(Piners)
0,structure good
0,(PJ's Canvas)
2,"post at entry twisted - 6' wall red tag, keep clear of wall [single ATC with red & yellow]"
1,"post at entry twisted - 6' wall red tag, keep clear of wall [single ATC with red & yellow]"
0,Structure good
0,No comments
1,"diagonal crack at bottom, wall is slightly out of plumb near rim joist, rim joist twiested"
0,Cracking @ garage wall (front & bottom)
0,Cracked stucco @ entry (front bottom corner)
0,structure good
1,Center atrium stairWy needs inspection. Under drywall at both top & bottom
0,safe for students - struc recheck - safe to open after clearing of scaffolds - eng letter(Blue Oak School)
1,vacant boarded up dwelling
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
0,"No apparent cracks @ chimeny,but most (9 of 12 ) units have cracking/pull away"
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
1,chimney fell
0,"Green tag, no comments"
0,No comments
1,chimney fell
0,Superficial interior & exterior cracking
0,Superfical int & ext cracking. Check sill plate connections. Contractor or engineer to look @ sill plate/foundation stem wall connection in crawl space
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,surface cracks in sheetrock
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,Support required for back chimney flue
0,structure good
0,structure good
0,structure good
1,chimney
1,(La Mariposa Market) exterior wall  1520 Pine leaning - may be pre-exist - OK to occ
1,roof damage from neighbors chimney collapse
1,chimney
1,wood framing damaged; front porch sagging
1,chimney
1,chimney
1,Cracks in stucco at corner of unit 1766
0,structure good
0,structure good
1,chimney shall not be used until repaired
0,Minor interior cracks
1,masonry chimney - minor cracks
1,Loose roofing shingles
0,"Green tag, diagonal stucco cracks @ garage header"
0,"Chimney ok, H2O heater ok by PGE"
0,"Plaster encasing posts supporting, carport cracks @ corners, Recommend continue monitoring"
1,Detached hand rail at rear
1,roof structure racked
1,Brick facing coming off chimney-falling hazard at side year near chimney - do not use side yard near chinmney until hazard is mitiaged
0,structure good
1,No use of side yd w/leaning fence. Structural engineer to inspect above & partial movement of wall to fndn @ garage
1,chimney broke and fell at roof line in rear of home
0,No one home
0,Outside inspection-no structural damage found
0,One vertical crack above rear slider @ header (crack in GYPBD & STUCCO. Rear yard concret deck shifted east side of pool
1,partial collapse of chimney
0,No major damage
1,"3 beams in the shed are brocken, limited access until repaired"
1,"Cracks in mortar and bricks of chimney, rotated top of chimney cracked brick archways in front of garage & entrance, fall hazard under roof tiles, crack o W-side"
1,"Cracks in mortar & bricks of chim , rotated top of chim ,cracked brick archways in front of garage & entrance fall hazard under rooftiles,cracks on fndn W-side"
0,Minor cracks in plaster interior
0,"Minor cracking brick fascia, drywall split sewer location-non structural damage"
0,Insp. Ext. front only concurr w/previous assess
1,Portion of chimney above roof - fall hazard - upper driveWy restricted until chimney removed
1,"wall cracking, movement of sill plate likely"
1,Several loose brick behind chimney
0,(Spanish 7th Day Adventists)
0,No comments
0,No comments
1,"superficial interior gyp bd cracking; chimney lenaing 2"" away from house"
1,Damaged chimney- moderate damage
1,chimney crack at roofline
1,Damaged chimney - moderate damage
1,Damaged chimney- moderate damage
1,Damaged chimney- moderate damage
1,Damaged chimney - minor damage
1,chimney
1,Replace vertical SW garage door/ post attached form residence exterior
1,Chimney damaged-detached from house/joint falure near roof & leaning away from house/ Keep away from exterior area
0,structure good
1,OK to occupy restricted access around chimney area
0,None - Green tag
0,no damage evident from front of house
1,do not use front entry
0,None - Green tag
1,Chimney pulling aWy from structure. Cracks in front part of chimney
1,no restrictions - base of both shearwalls damaged - requires SE to eval - 5 units
0,sheetrock/stucco cracks
0,structure good
0,structure good
0,structure good
0,Mior cracking in drywall
1,"Chimney down on roof, falling hazard. Limit access on Northeast side of the house"
1,Chimney off at roofline
1,"chimney collapsed, falling hazard"
1,chimney broke at roof line
0,Inspected
1,One loose brick on upper part of chimney
1,top cap on chimney has separated from chimney and loose brick on corner
1,Loose brick on top of chimney work is being admideatly accessed by owner
1,chimney down
0,No damage GREEN TAG
0,No comments
1,"minor lower cracks in chimney, top of chimney at roofline twisted and separated"
0,no obvious damage
1,ext inspect - OK to occ but struc inspection needed - drvy & retainin wall need repair
1,Previous YELLOW  9/11/2014 on front door. Still needs inspections/repairs
1,"Racking damage to walls, concrete has moderate damage. Outside staircases and tall retaining walls at driveWy."
1,restrict use to fire place due to cracks if fire box and exterior
1,"bldg shifted off foundation 4"" toward west side/ok to occupy for clean up/repairs - secure guard rail to front stairs.  Require eng report"
1,chimney/loos bricks
1,(Wine Shipping)
0,(Redwood Plaza - Squeeze Inn)
0,(Redwood Plaza - Vallergas Market)
1,"Flooding/ domestic cold water only/ gas leak at emergency generator, vent/flue within laundry service damaged."
0,cracking on interior/exterior walls
0,Cracks in sheetrock & stucco (Hawthorn Village)
0,structure good
1,"Fire alarm, exit signs and egress lighting appeared to be out of service prior to earthquake"
0,structure good
0,drywall cracks
0,structure good
0,structure good
0,structure good
0,looks OK
0,chimney missing rain capt - can't see cracks from street - slab on grade fdn
2,"damage to foundation; crackin, movement at load point"
1,changed/revised red tag to yellow tag
0,No comments
1,"remove loose bricks from roof, stay clear of loose bricks"
1,cracked concrete block wall at side door - OK to occ
1,damaged chimney
0,No comments
2,"building off foundation; hazardous electric service, no city water service"
1,Chimney severed at 2nd story roofline
0,No comments
1,chimney - stay clear of falling hazard
1,No sleeping in family room additon & guest room in use of side fence allowed to move gargage in & out
0,"AC unit on roof has slight tilt, no other damages"
0,Not home- green tag
1,[ATC shared with red for Unit A] no occupancy except as noted on tag - need engineer eval
1,[same ATC-20 as Unit A] retained previous yellow tag
1,bedroom wall crack needs asmnt/repair kitchen and bath
1,Front porch damaged and front south corner leaning
1,1811 -Chimney separated from home/1815 Collapsed car port
1,provide permit to cap off property/stay clear of falling hazards/do not use fireplace
0,No comments
0,No comments
0,GYP BRD cracks
0,Inspected
1,Top of brick chimney collapse onto roof
1,"framing shifted at entry - cracks in porch and foundation - no porch access, use rear of building"
0,"Foundation spalling  @ corners @ outer corners, plaster around openings"
1,"Garage structure leaning. For retreival of property only, no occupancy"
2,"fascia on masonry, arch falling hazard"
0,structural failure to chimney at roof
1,chimney cracked - potential fall hazard - please do not park in area of chimney until hazard is mitigated
1,Damaged fireplace and chimney
1,Damage to fireplace and chimney
0,"Neighbors chimney fell against horse at crawl space & bay window E-side siding damage. Damage noted ""GREEN"""
0,structure good
0,Light GREEN tag
0,No comments
1,Chimney damage
1,damaged chimney; cracking ext stucco - various locations
1,Chimney damage
1,No comments
0,minor cracks in stucco on ext & int drywall - sidewalk cracks around pool
1,"CMU chimney with  displacement above roof line, obvious cracts at mortar - restrict area around chimney until it is evaluated completely"
1,"obvious chimney brick displacement above roof, spoke with homeowner"
1,"bricks and old flue at side of garage, unable to see chimney location from street"
1,"chimney fallen down at roofline into side yard; chimney tarped off, no danger at this time"
1,Chimney cracked but still in place
1,fireplace broken at roof line
0,No comments
0,Stucco cracking (minor) around exterior & misc places on interior
0,cracks in wall board & front step
1,chimney
1,chimney
1,chimney
1,Chimney damage
0,Large garage slab & flatwork cracking
1,Damaged chimney- moderate damage
1,Front porch and front porch columns out of alignment - stay off front porch - needs repair
1,Front porch-added to posting-porch railing separted from house wall
1,Added to (E_ posting that porch railing pulled away from house
0,no issues
0,"Minor cracks in stucco, cracks in post veneer"
0,Ceiling corner cracks (W-side) ground  (Commercial) already green tagged
1,"brick façade (wainscot) pulling aWy from building, suspended T-bar ceiling tiles falling - stay clear or remove tiles in ceiling"
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
1,chimney - stay clear of falling hazard
0,no apparent damage
0,Green tag exterior only
1,Damaged chimney- moderate damage
1,SW foundation cracked - stay aWy from 2nd floor SE room
1,"chimney, stem wall in basement fractured"
1,chimney removed at roof line
1,Stucco cracks at carport columns
1,Stucco cracks at carport columns
1,Stucco cracks at carport columns
0,Ext brick facades adjaent to garage should be repaired/anchored to house. Repair exterior bricks & joints on chimeny
0,Minor cracks at foundation have contractor review
1,"toppled chimney onto roof, stay 50' aWy from chimney- do not use chimney"
0,No comments
1,"Chimney is faling, avoid area around chimney extreme falling hazard"
1,fallhazard from neighbor's chimney at 1440 Spruce
1,Chimney for 1440 damaged.
1,Neighbor chimney @ 1440 hazard. Avoid area adjacent to neighbors chiminey
1,chimney separated from struc - SE required to eval
0,"Sill pl's not bolted down; some int. surface cracking. Cracks in chimney,however owner says retrofit work was done"
1,"Failure of chimney flue-falling ,avoid area"
1,chimney broken
1,chimney cracked
0,checking @ corners stucco crack @ chimney
0,Exterior-no visible damage
0,Very minor cracks-walls chimney-exterior & interior
0,Minor cracks-no structural damage
0,"Green tag, no comments"
0,Minor cracks in fireplace on ext. minor small crack btwn chimney & house
1,Safe to occupy except areas side yard and to chimney .No fireplace use
1,"Minor drywall cracking, cracks in chimney at roof line and firbox. Do not use chimney until repaired"
1,Chimney cracks & pulled from house
0,structure good
0,structure good
0,exterior & interior cracks
0,exterior & interior cracks
0,exterior & interior cracks
0,exterior & interior cracks
1,Cracked base of craport roof support. Cracks around doors and windows.
1,"Top of chimney broke off & fell to the ground,roof repair ok, but remainder of chimney need inspection & possible removal. Keep clear of chimney in attic"
1,Potential hazard from leaning damaged fireplace at adjacent house
1,Chimney Down
0,Exterior insp. Only-occupant notes that someone may have already stopped by & inspected. Yellow card work and not available. Issued/posted GREEN
1,damaged fireplace/chimney
0,No comments
2,"basement slid off foundation, dry rot, leaning walls, broken stairs"
1,"walls racked 2"" to the west - additional notes from previous yellow tag"
2,"chimney, appears west wall sill place shifted 4"" on foundation (3 units)"
0,Foundation damage@ NW corner & NE corner
0,No comments
0,"Green tag, no visual damage"
1,"support beams shifted, chimney has broken front, steps moved"
1,"stairway taped off yellow tag, second story green tag"
1,Chimney damage
0,No comments
1,minor cracking in lath & plaster interior - access restricted in detached garage - chimney & footing cracking - significatn sagging lateral & longitude
1,Fallen Chimney
1,Plaster damage reuire replacement & permit
1,chimney
1,chimney
0,Minor cracks in chimney-recommend to be addressed
1,Cracked chimney on north-side & collapsed chimney on east-side - per prop. Owner
0,"Back fence fell down, fence along side of house has horizontal crack, the walk is supporting green house of the neighbor"
1,masonry wall collapse
1,stairs - do not use except in emergency - have engineer inspect prior to usage
0,Minor cracks (very minor) interior
1,lower portion fireplace cracked & some displacement
0,minor cracking
1,"Chimney damaged-joint failure near roof, keep away from exterior chimney area"
1,Fallen chimney.
0,no major damage - minor cracks on walls - updated green tag
0,"Green tag, superficial exterior stuccon cracks & foundation cracking"
0,Minor interior cracks
1,Shifting mud sill to foundation Stucco cracking
0,None GREEN TAG
1,Chimney cracked @ roof line
1,Keep area clear around chimney
1,Keep area clear around chimney
1,Cracked chimney - minor damage
1,Top of Chimney down
1,"side fence fell over, cracking in entry tile work, front brick cracked by sidewalk"
2,"shared structural elements (common shear wall) with 1263 Juarez - progresssive collapse conern with common wall, diagonal cracking"
0,No visible signs of cracks recently painted cracks interior
1,deterioration do to age
0,light water damage from broken h20 line - recommend contact a licensed contractor for repair
0,(Napa Cigars)
1,chimney
0,No comments
1,"Roof falling on the northwest corner of the building, stay out of flagged area"
1,"Some displacement @ gables wall/side wall & chim, some cracking @mortar@chim abv roof line, use caution around chimney-do not use chim. Do not pare below"
0,structure good
0,minor damage to chimney
0,"chimney has been removed, structure good"
0,"Green tag, no damage-front exterior only"
1,Top half of brick chimney is cracked and slightly displaced
0,No comments
0,No comments
1,Fireplace collapse - top stack
1,OK to occupy chimney area restricted
0,wall partially collapsed; safe to residents
1,Chimney Leaning at roof level
0,"Minor wall cracks SOG, no structual damage GREEN TAG"
0,No comments
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,"masonry columns damage, broken/fallen roof tiles, porch overhang"
1,vertical crack on parapet wall
1,Cracked chimney. Avoid chimney area
1,Keep area clear around chimney
1,Brick veneer at right side of garage portal is pulling aWy from structure
0,"GREEN TAG Cracks in stucco, pool bottom, & exterior patio"
0,Cracks @ stucco @ front door & garage portal no cracks apparent @ chimney
1,Keep area clear around chimney
1,Chimney Repair
0,minor cacking adj to columns & openings; no apparent struc damage
1,Keep area clear around chimney
1,chimney down from roof level and above - restricted use at chimney area due to collapse (already cleared from roof)
1,Cripple wall is significantly leaning @ front of structure. No occupancy item retrieval
0,"Rear of unit 921 bldg of stucco about 6"" above sill, dosent appear to have rim joist. Cracking 7"" above sill, may desire more through struc eng eval"
0,"Rear of unit 921 bldg of stucco about 6"" above sill, dosent appear to have rim joist. Cracking 7"" above sill, may desire more through struc eng eval"
0,"Cracks noted @ windows , minor/moderate plaster GYPD damage noted GREEN TAG"
1,"Chimney minor, Celing has dislodged,  No enry in dining room"
1,"Some  criple wall posts at foundation are split or leaning. 1st flr shifterd 1-1 1/2"" laterally. Back room is separated from home vertically by 1/2"""
1,"Racking damage to walls, other structural damage"
1,"NW corner shifted to south slightly of foundation 2"" at rear - recommend struc engr eval"
0,Extensive interior drywall cracking @ 1st floor
0,structure good
0,No damage
1,"no use of tower, Restricted access of stairs"
0,Owner already hired struck. Eng and fixed
1,"CMU on Taco Bell (3177 Jefferson) failing, chimney broken"
1,hole in top of chimney and missing grout near roof level
0,Owner declined GREEN tag
0,Minor interior drywall cracks in kitchen area. Cosmetic
0,no damage observable
1,"Chimney has shear crack-right bottom, hairline fracture at roofline"
1,cracs at fireplace & base of chimney - aboid access to chimney at back of property
1,Keep area clear around chimney
1,Keep area clear around chimney
1,chimney has fallen
1,Keep area clear around chimney
2,adjacent building
2,imminent danger from adjacent structure - existing placard remains - [ATC listed as 1010 & 1020 Third but all are in same APN]
1,"Partially Fire Sprinklered, basemoent only, visable damage in court tunnel, domestic water imapred - I-3 3rd floor expansion/"
1,sanctuary
2,racking damage moderate to severe (Franklin Apts - 18 units & 1 comm)
1,Falling debris
0,"Electric panels. Minor interior GYP board cracking, exterior-back of 6 elec. Service meters pulling away from wall"
2,Foundation
0,903 Vallejo St falling hazard - do not occupy until 903 Vallejo has been demo
0,no obvious damage
0,"Rear of unit 921 bldg of stucco about 6"" above sill, dosent appear to have rim joist. Cracking 7"" above sill, may desire more through struc eng eval"
2,Structural carport listing
0,salon
0,(A Trim Barber Shop)
0,(Pueblo Market)
1,chimney damaged through roofline
1,Building shifted from foundation
0,structure good
1,fireplace failed at roofline and on ground
1,"Building shifted one side 2"""
1,chimney cracked
1,chimney cracked
1,chimney cracked
1,"Cracked chimney, loose bricks"
1,Cracked chimney
1,"Cracked chimney, dislocated bricks"
1,cracks on fireplace/chimney - stay clear of chimney/fireplace
1,chimney
1,Plaster soffit loose @ stair; needs repair.Stair landing is rotting lag bolts anchoring stair are loose
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
0,no restric on use - reanchor water heater - remedial work at south wall required - separation of floor to foundation
1,air handler unit with unstable base/avoid area new roof air handler unit and the emergency exit door located near kitchen
1,chimney cracked
1,Chimney down
1,Chimney on ground. No hazard
0,No comments (Commercial)
0,No comments
1,chimney failure - stay clear until damage is removed
1,Cracked Chimney dislocatesd bricks
1,Stay away from area directly below roof line below chimney area
1,wainscot veneer lower portion of house
1,Stone veneer in front of fireplace separated. Stay clear of firepleace until veneer over fireplace anchored
2,Unsafe building (Alexandria Square)
1,"chimney rcracked at roofline, crack eminating from upper right garage opening - antenna dangling"
0,(Lucky's CVS) - beam in fron tof CVS is shored up
1,"chimney falling haz, being demo; has permit; minor stucco cracking; garage stucco spalling - no occ around base of chimney"
2,carport failed
0,No comments
1,Chimney damaged
0,No comments
1,chimney brocked away from the hosue - hazard at chimney - OK to use rest of house
1,chimney fallen
1,Cracked chimney
1,Damage to fireplace and chimney
1,Avoid Chimney Area
1,Chimney damaged-Restricted area around chimney
1,Cracked Chimney
1,chimney cracked below roofline/do not use fireplace
1,chimney fell
1,"top park of brick chimney shifted 1/2""; mortar bed brocken; falling hazard by side yard - avoid side yard - placard also placed at 1448 Sherman"
1,already removed chimney and already obtained permit from City to repair
0,No comments
0,1st & 2nd story offset in rear appears to be existing construction defect - no apparent damage
1,"chimney damage, top off"
1,Suspended ceiling compromised
1,"carport wall collapsed, roof tile loose"
1,"carport wall collapsed, roof tile loose"
1,chimney collapse
1,previously yellow tagged - dismounted rooftop HVAC - potential falling hazard [no APN can be matched to address]
1,chimney collapse
1,previously yellow tagged - dismounted rooftop HVAC - potential falling hazard [no APN can be matched to address]
1,chimney collapse
1,previously yellow tagged - dismounted rooftop HVAC - potential falling hazard [no APN can be matched to address]
1,roof structure racked
1,previously yellow tagged - dismounted rooftop HVAC - potential falling hazard [no APN can be matched to address]
1,roof structure racked
1,roof structure racked
0,damage to façade tower
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,No comments
1,fall chimney on ground
1,"Chimney has been cemolished by permit. Work on-going, no new chimney. Owner notes that the permit was obtained for chimney demotion"
1,"Cracks in stucco, top of chimney has cracked & displace,  cracks in interior plaster, some deck posts are leaning a little."
1,Cracked chimney
0,Minor exterior/interior cracks. No visual structural damage
1,chimney cracked
1,Avoid Chimney Area
1,chimney collapsed
2,total collapse - parking shelter
1,"Stringer at patio is ou-of plumb, recommend to repair ASAP. Porch underneath canopy/trellis"
2,carport
1,carport leaning and likely to collapse
0,No placard
0,No comments
0,"Conduit broken, pipe braces are loosen or not attached"
1,cracks in walls - units AB&C
1,"wall looks unstable, and masonry is falling off, do not get close to masonry wall until repaired"
2,adjacent bldg has wall with probability of collapse - access not permitted until wall is braced
2,[Bldg 900][aka 473] partial roof fall-in; doors racked - do not enter
1,"partial roof falldown, contract removed roof and put temp wall & wants to brace masonry wall - entry to side of bldg OK [Bldg 900 red tagged][aka 473]"
1,Mini storage damage [Bldg 900 red tagged][aka 469]Sliding doors jammed and metal material buckling
2,Carport collapse
1,"deck is unstable and needs repair, plaster cracking in walls - access to balcony/deck should be limited until further inspection"
0,(Willow Creek Apartments)
1,chimney fallen down - bricks on 3rd floor on north side
0,"Broken chimney has been removed-no longer falling , hazard significant Gypsom plaster damage @ interior has been repaired"
1,"no occupancy first floor, ok to retrieve possessions/restrict access to rear entry - engineer letter attached"
2,raised foundation unstable due to shifting
1,stone veneer collapsed at main entry Wy
1,"cracked columns on gazebo, broken glazing, soffit dropping"
1,stone veneer on columns popped off
1,Marshall's - Ceiling damage
0,"1/4"" TO 1/2"" cracks in gyp bd, sill plate in bathroom moved more than 1"" - front door sticks"
0,(River Terrace Inn)
0,fastner at caonpy falling - further eval required [Contempo Nails]
0,[Supercuts]
0,no damage observable
0,No comments
1,"1/3 of chimney fallen, stay clear of chimney"
1,front porch has partially collapsed and is sloping toward entry - aviod using front porch
0,exterior only
2,prev red tag 8/27/14 - temporarily shored-up - previos red tag to remain
1,"house shifted south 3-4"" basement level to first floor - no occupancy permitted except to retrieve belongings, enter only through north entrance"
1,chimney broken
1,chimney broken
1,chimney fell
1,chimney fell
1,Chimney has several loose brick on front and left side concerned it may fall on resident if another tremmer hits. ADA home
1,Chimney cracked - moderate damage
2,"shared structural elements (common shear wall) with 1263 Juarez - progresssive collapse conern with common wall, diagonal cracking"
1,"chimney separates from structure, masonry fence wall cracks observed, garage door separates from rails and appears loose"
1,chimney cracked - potential fall hazard - limit use in court yard until falling hazard mitigated
1,possible falling hazard if aftershock
1,cracks in chimney - have contractor review and repair
1,Chimney Down
1,Chimney Down
1,front entry cracking
1,chimney
1,chimney
0,Interior inspection declined-did not speak spanish
0,"Cosmetic cracks interior sheet rock, metal awning posts bent-not life threatening"
0,No comments
0,No comments
2,"collapse, leaning, racking"
2,"collapse, leaning, racking"
0,"Green tag, minor interior cracking of plaster"
1,Alexandrea Bldg
1,"OK to occupy except Ste 165, 185, 245, 335, 345, 355"
0,Appears to be masonry façade @ 3rd floor cover @ N/W corner. Allow access to 335 w/ply baracade to west 12' corridor @3rd floor (Offices)
1,"lower broken glass, wall cracks throughout building/do not use entrance at corner of Second and Randolph"
2,interior & façade; unsafe building (Post Office)
1,cracking at retrofit line at 2nd story
0,risk mitigated
0,(Foot Logic) risk mitigated
1,cracking at retrofit line at 2nd story
0,(Antique Shoppe) risk mitigated
1,structural damage
0,(Lotus Salon) risk mitigated
1,cracking at retrofit line at 2nd story
0,Minor wall /ceiling crack @ 2nd floor kitchen stucco (Commercial)
0,(Cervone & Sons) risk mitigated
0,No comments
1,chimney fell
1,Cracked chimney
1,chimney fell
1,Damaged chimney- moderate damage
1,chimney
1,chimney
0,Under repair due to H2O damage. No major damage on walls
0,No noticable cracks observed from exterior
0,Superficial drywall cracking throughout house. Ext. & Int. of home inspected & deemed safe to occupy
0,structure good
0,structure good
0,structure good
0,structure good
1,[Fuller Gardens] damage at carport area/Apt 11 - further struc asmnt required
1,chimney
0,structure good
0,structure good
0,structure good
0,structure good
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,water heater not strapped (Loop)
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Redwing Shoes)
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Fridas Mexican Grill)
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,(Americas Tires)
0,(Lucky's CVS) - beam in fron tof CVS is shored up
0,No comments
1,Keep area clear around chimney
1,"no use of tower, Restricted access of stairs"
1,"Cracked chimney, occupants stay 25 ft. aWy from chimney"
2,out building - collapse
1,Top of chimney fell off
1,Keep area clear around chimney
0,(Lucky's CVS) - beam in fron tof CVS is shored up
1,"Needs chimney sweep inspection, no falling hazard, cracks @ wall interface,earth redoing structure in backyard is leaning could collapse in after shock"
1,masonry wall 6' height
1,collapse a roof line
1,cracks in the chimney
1,roof damage
1,"Access to remove possesions, house foundation damaged, garage severely damaged"
1,No inspections done-already YELLOW TAG 10/7/14
1,"Chimney has moderate horiz. Stucco crack that needs repair, rooftile needs repair adjacent to chimney. Do not walk uncer chimney or tile roof area"
1,chimney damaged taken down
1,avoid area near chimney and fix chimney
0,SFDFNG wood pounding damage to ext siding from front deck; interior GYP board cracking
0,Exterior stucco cracking
0,"Cracking @ CMU corners, cracking corner of CMU fndn, exterior, stucco cracking interior GYP board cracking"
1,Chimney damage
1,"Partial chimney collapse at base, building racked at foundation"
1,Partial collapse at base
1,Partial Chimney collapse
1,Chimney Down
1,Keep area clear around chimney
1,Keep area clear around chimney
1,Keep area clear around chimney
0,No obserable structural damage
1,"Moderate cracking ,some concrete spilling.Show signs of modeate displacement Connection points are compromised in some locations"
1,"addition slipped off fdn, overhand vertical support damaged, structure leaning, avoid area below overhang & addition"
1,Chimney - off roof
1,"Chimney fallen, no further falling hazard"
1,"Racking damage to walls, other structural damage. Garage door and front entry."
1,Chimney Down
0,"chimney down, owners removed chimney"
1,chimney down at roof
1,cracking around sill plate
1,chimney detached from structure
1,Chimney shear cracks @ 4' above grade
1,lower half chimney cracking
1,entry porch area - stay clear of right side of porch (temp post)
0,Cracks in sheetrock (interior) minor damage top of chimney-Interior
1,"North fndn. Wall & master bdrm. Failed, w/wall. Do not occupy new master bedroom wing"
0,Not home-no visisble structural damage
1,"unable to access chimney & rear yard, foundation cracks, wall movement at garage to dwelling - eng eval needed"
1,chimney collpased
1,chimney collapsed
1,"concrete cracked at garage stem wall, steps to garage house door pulled away"
0,Minor drywall cracking  & stucco  cracking
1,chimney fell - do not use fireplace/stove
0,minor chimney cracks - has non-permitted patio cover
1,Keep area clear around chimney
0,No comments
1,Chimney damage
1,"garage floor cracked/wood framing around chimney crack/crack at garage/residence foundation shift by 6""/SW corner shifted/2"" displacement"
2,"partial collapse of garage, walls out of plumb"
0,Minor cracking to drywall & concrete
0,2 vertical cracks in stucco @cold joint/addition
1,"cracking on front foundation, no exterior visible shifting, too much water under house for under floor inspection"
0,"Green tag, no comments"
